priority,paper_spec,model,paper,failure_type,current_final_CG,current_final_REA,controller_route,controller_status,next_action,candidate_label,candidate_lane,passed_local_preflight,covered_entities_local,total_entities_local,premise_support_high_risk_count,row_ans_floor,fresh_CG,fresh_REA,fresh_strict_gate_passed,fresh_judge_provider_error,fresh_status,candidate_main_factual_ans,guard_current_best_main_factual_ans,guard_margin,ans_guard_passed,mergeable_with_ans_guard,ans_provider_or_rate_error
5,claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,s41467-025-56034-2,metric_regression,0.8,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-pareto-terminal-plus-step2-v1-claude_sonnet_4_5_20250929_s41467-025-56034-2,,True,10,10,,0.7864583333333334,1.0,1.0,True,False,fresh_evaluated,0.8040540540540541,0.7864583333333334,0.017595720720720687,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56075-7,gemini_3_1_pro_preview,s41467-025-56075-7,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,gemini56075-rootexact-v2,minimal_root_text_edit,True,10,10,0,1.0,1.0,1.0,True,False,fresh_evaluated,1.0,1.0,0.0,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56283-1,gemini_3_1_pro_preview,s41467-025-56283-1,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,gemini56283-compact-source-seed-v6,compact_source_seed,True,15,15,0,1.0,1.0,1.0,True,False,fresh_evaluated,1.0,1.0,0.0,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56522-5,gemini_3_1_pro_preview,s41467-025-56522-5,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56522-supervised-methods-evidence-bridge-v1,source_leaf_bridge,True,11,11,0,non_regression,1.0,1.0,True,False,fresh_evaluated,0.8478260869565217,0.8,0.047826086956521685,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56667-3,gemini_3_1_pro_preview,s41467-025-56667-3,metric_regression,0.5714285714285714,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,gemini56667-ansdelta-v7-coulomb-only,source_leaf_bridge,True,7,7,0,0.8518518518518519,1.0,1.0,True,False,fresh_evaluated,0.9333333333333333,0.8518518518518519,0.08148148148148149,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56698-w,gemini_3_1_pro_preview,s41467-025-56698-w,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,gemini56698-compact-source-seed-v1,compact_source_seed,True,10,10,0,1.0,1.0,1.0,True,False,fresh_evaluated,1.0,1.0,0.0,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56724-x,gemini_3_1_pro_preview,s41467-025-56724-x,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56724-phasecondition-rb-clarity-v1,source_leaf_bridge,True,7,7,0,0.896551724137931,1.0,1.0,True,False,fresh_evaluated,1.0,0.896551724137931,0.10344827586206895,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56850-6,gemini_3_1_pro_preview,s41467-025-56850-6,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56850-source27-mice-psychoactive-bridge-v1,source_leaf_bridge,True,9,9,0,0.6195652173913043,1.0,1.0,True,False,fresh_evaluated,0.9761904761904762,0.6195652173913043,0.35662525879917184,True,True,False
5,gemini_3_1_pro_preview:s41467-025-56852-4,gemini_3_1_pro_preview,s41467-025-56852-4,final_metric_gate_failed,0.5333333333333333,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,gemini56852-compact-source-seed-v1,compact_source_seed,True,15,15,0,0.7916666666666666,1.0,1.0,True,False,fresh_evaluated,0.9354838709677419,0.7916666666666666,0.14381720430107525,True,True,False
5,grok_4_1_thinking:s41467-025-56283-1,grok_4_1_thinking,s41467-025-56283-1,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56283-energy-minimization-lexical-bridge-v1,source_leaf_bridge,True,12,12,0,non_regression,1.0,1.0,True,False,fresh_evaluated,0.9583333333333334,0.7788461538461539,0.17948717948717952,True,True,False
5,grok_4_1_thinking:s41467-025-56611-5,grok_4_1_thinking,s41467-025-56611-5,final_metric_gate_failed,0.7857142857142857,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56611-compact-source-seed-v1,compact_source_seed,True,14,14,0,0.8795180722891566,1.0,1.0,True,False,fresh_evaluated,1.0,0.8795180722891566,0.12048192771084343,True,True,False
5,grok_4_1_thinking:s41467-025-56786-x,grok_4_1_thinking,s41467-025-56786-x,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56786-compact-source-seed-v3,compact_source_seed,True,7,7,0,non_regression,1.0,1.0,True,False,fresh_evaluated,1.0,0.75,0.25,True,True,False
5,grok_4_1_thinking:s41467-025-56797-8,grok_4_1_thinking,s41467-025-56797-8,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56797-mechanism-translation-bridge-v1,source_leaf_bridge,True,8,8,0,0.8125,1.0,1.0,True,False,fresh_evaluated,0.9736842105263158,0.8125,0.16118421052631582,True,True,False
5,grok_4_1_thinking:s41467-025-56814-w,grok_4_1_thinking,s41467-025-56814-w,metric_regression,0.0,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56814-ansdelta-v3,source_leaf_bridge,True,12,12,0,0.874439461883408,1.0,1.0,True,False,fresh_evaluated,0.8947368421052632,0.874439461883408,0.02029738022185512,True,True,False
5,grok_4_1_thinking:s41467-025-56819-5,grok_4_1_thinking,s41467-025-56819-5,final_judge_failed,0.8181818181818182,0.05,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56819-compact-source-seed-v1,compact_source_seed,True,11,11,0,0.921875,1.0,1.0,True,False,fresh_evaluated,0.9761904761904762,0.921875,0.054315476190476164,True,True,False
5,grok_4_1_thinking:s41467-025-56873-z,grok_4_1_thinking,s41467-025-56873-z,final_metric_gate_failed,0.7,1.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56873-ansdelta-v15,source_leaf_bridge,True,10,10,0,0.7676767676767676,1.0,1.0,True,False,fresh_evaluated,0.875,0.7676767676767676,0.10732323232323238,True,True,False
5,grok_4_1_thinking:s41467-025-56882-y,grok_4_1_thinking,s41467-025-56882-y,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,grok56882-compact-source-seed-v1,compact_source_seed,True,9,9,0,0.7407407407407407,1.0,1.0,True,False,fresh_evaluated,0.9473684210526315,0.7407407407407407,0.20662768031189083,True,True,False
5,grok_4_1_thinking:s41467-025-56887-7,grok_4_1_thinking,s41467-025-56887-7,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,after327-56887-source31-nadar-hydrolase-bridge-v1,source_leaf_bridge,True,9,9,0,0.8235294117647058,1.0,1.0,True,False,fresh_evaluated,0.8863636363636364,0.8235294117647058,0.06283422459893051,True,True,False
5,qwen3_5_397b_a17b:s41467-025-56106-3,qwen3_5_397b_a17b,s41467-025-56106-3,preflight:no_anchor_regenerate,0.0,0.0,strict_candidate_ready_for_review_merge,ready_for_merge_guard,Build/update strict merge review and run current-version batch ANS guard before counting this row.,qwen56106-compact-source-seed-v1,compact_source_seed,True,10,10,0,0.8285714285714286,1.0,1.0,True,False,fresh_evaluated,0.9811320754716981,0.8285714285714286,0.1525606469002695,True,True,False
